OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,ShapeSTArea,ShapeSTLength
223,Penniman Road Play Area,City of Boston,A97,3,Allston-Brighton,0.92237908,25 Penniman Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Penniman-Hano Play Area,BPRD,234,PARK_Maintenance_Region 4,234,YES,02134,"2201783000,2201781000,2201786000,2201784000,2201782000,2201787000,2201785000",1945,40176.2610445047,973.852337626179
224,O'Day Playground,City of Boston,A97/PARC/UPARR,3,South End,0.71771528,"West Newton, San Juan, & Aquadilla Sts.",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,219,PARK_Maintenance_Region 6,219,YES,02118,0900336000,0,31261.6151502557,713.82321348985
225,Fan Pier Plaza,United States of America,Ch91/WPA,1,South Boston,2.36341621,12 Northern Avenue,Special District,"Malls, Squares & Plazas",NULL,NULL,N,X,Courthouse Plaza,,,INFO_Reallocation From Dept,6001,YES,02210,,0,102943.765135084,2027.35140649141
226,Children's Wharf Harborwalk,Private,A97/Ch91/WPA/Esmnt,1,South Boston,0.22805971,308 Congress Street,Industrial District,"Malls, Squares & Plazas",BPRD,Private,X,X,,Private,334,INFO_Reallocation From Dept,334,YES,02210,0602635000,1981,9933.58429732986,768.742503601005
227,Martin's Park,City of Boston,A97/Ch91/WPA,3,South Boston,1.12128945,64 Sleeper Steet,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,,BPRD,333,INFO_Reallocation From Dept,333,YES,02210,"0602637010,0602636020,0602636000",2017,48840.3431337677,1031.78187582108
228,Braddock Park,City of Boston,A97,1,South End,0.09218721,27P Braddock Park,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Berwick Park,BPRD,029,PARK_Maintenance_Region 6,29,YES,02116,0400788500,0,4015.41766359305,562.013151614471
229,Veterans Park,City of Boston,A97,3,East Boston,0.19887514,76-84 London Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,London & Decatur St Park II,BPRD,342,INFO_Reallocation From Dept,342,YES,02128,"0105535000,0105534000,0105538000,0105536000,0105537000,0105539000",0,8662.45360369529,376.583680565512
230,East Boston Piers Park,Massport,Statute,3,East Boston,6.79116545, ,Open Space District,"Parks, Playgrounds & Athletic Fields",COM,Massport,X,X,Piers Park,Massport,,INFO_Reallocation From Dept,4041,YES,02128,,0,295804.528864613,3637.08968558502
231,Caldwell Street Play Area,City of Boston,A97,3,Charlestown,0.12752687,9 Caldwell Street,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,040,PARK_Maintenance_Region 1,40,YES,02129,"0201883000,0201884000,0201882000",1980,5554.73743298208,305.966729989605
232,L Street Beach,City of Boston,A97/Ch91/WPA,2,South Boston,5.57148359,1663 Columbia Road,Open Space District,"Parkways, Reservations & Beaches",BPRD,BCYF,X,X,Curley Community Center,BPRD,173,INFO_Reallocation From Dept,173,YES,02127,0702442000,0,242677.778011529,2872.00321258927
